light,heater,ventilation,pump,valve,timestamp
1,0,0,0,0,"""2023-05-02T22:00:00.000Z"""
1,0,0,0,0,"""2023-05-02T22:01:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:06:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:11:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:16:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:21:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:26:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:31:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:36:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:41:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:46:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:51:47.000Z"""
1,0,0,0,0,"""2023-05-02T22:56:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:01:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:06:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:11:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:16:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:21:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:26:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:31:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:36:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:41:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:46:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:51:47.000Z"""
1,0,0,0,0,"""2023-05-02T23:56:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:01:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:06:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:11:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:16:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:21:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:26:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:31:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:36:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:41:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:46:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:51:47.000Z"""
1,0,0,0,0,"""2023-05-03T00:56:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:01:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:06:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:11:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:16:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:21:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:26:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:31:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:36:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:41:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:46:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:51:47.000Z"""
1,0,0,0,0,"""2023-05-03T01:56:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:01:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:06:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:11:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:16:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:21:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:26:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:31:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:36:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:41:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:46:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:51:47.000Z"""
1,0,0,0,0,"""2023-05-03T02:56:47.000Z"""
1,0,0,0,0,"""2023-05-03T03:01:47.000Z"""
1,0,0,0,0,"""2023-05-03T03:06:47.000Z"""
1,0,0,0,0,"""2023-05-03T03:11:47.000Z"""
1,0,0,0,0,"""2023-05-03T03:16:47.000Z"""
